tcn_blocks,tcn_dilations,pooling_type,gru_layers,gru_units,aug_status,early_stop_epoch,val_loss,test_loss,timestamp
1,[8],none,2,256,True,18,337.4145,341.4450,2025-09-25 15:42:12
1,[8],none,3,64,False,28,514.4391,508.3253,2025-09-25 15:42:16
1,[8],none,3,64,True,21,336.8108,347.6773,2025-09-25 15:42:47
1,[8],none,3,128,False,30,512.1688,505.0657,2025-09-25 15:42:52
1,[8],none,3,128,True,27,338.4283,345.6235,2025-09-25 15:43:33
1,[8],none,3,256,False,24,513.6708,509.0026,2025-09-25 15:43:39
1,[8],none,3,256,True,17,339.8027,340.6800,2025-09-25 15:44:06
1,[8],average,1,64,False,None,51.8621,42.9674,2025-09-25 15:44:24
1,[8],average,1,64,True,108,44.4905,39.9262,2025-09-25 15:47:12
1,[8],average,1,128,False,86,53.1077,42.4318,2025-09-25 15:47:25
1,[8],average,1,128,True,117,38.4715,33.3565,2025-09-25 15:50:34
1,[8],average,1,256,False,None,46.0907,35.7301,2025-09-25 15:50:53
1,[8],average,1,256,True,96,46.8863,39.3015,2025-09-25 15:53:30
1,[8],average,2,64,False,22,513.8131,506.3394,2025-09-25 15:53:34
1,[8],average,2,64,True,24,335.6973,342.4961,2025-09-25 15:54:15
1,[8],average,2,128,False,22,513.3862,510.0678,2025-09-25 15:54:19
1,[8],average,2,128,True,28,337.5875,346.4329,2025-09-25 15:55:08
1,[8],average,2,256,False,23,513.1734,512.9172,2025-09-25 15:55:12
1,[8],average,2,256,True,21,340.9761,342.4058,2025-09-25 15:55:49
1,[8],average,3,64,False,36,513.7787,511.4297,2025-09-25 15:55:55
1,[8],average,3,64,True,29,339.9149,345.3959,2025-09-25 15:56:45
1,[8],average,3,128,False,21,514.0282,506.8772,2025-09-25 15:56:49
1,[8],average,3,128,True,18,343.0019,345.9435,2025-09-25 15:57:20
1,[8],average,3,256,False,28,512.8836,507.7229,2025-09-25 15:57:25
1,[8],average,3,256,True,37,337.9058,341.3489,2025-09-25 15:58:29
1,[8],max,1,64,False,72,74.7631,65.9912,2025-09-25 15:58:43
1,[8],max,1,64,True,110,50.2659,47.9585,2025-09-25 16:01:54
1,[8],max,1,128,False,83,53.2603,55.0869,2025-09-25 16:02:09
1,[8],max,1,128,True,None,35.5734,33.2418,2025-09-25 16:05:42
1,[8],max,1,256,False,93,45.4083,38.2176,2025-09-25 16:06:00
1,[8],max,1,256,True,105,38.9684,41.2696,2025-09-25 16:09:10
1,[8],max,2,64,False,21,512.6234,507.8676,2025-09-25 16:09:13
1,[8],max,2,64,True,24,339.4399,340.9635,2025-09-25 16:09:50
1,[8],max,2,128,False,21,513.4083,507.9578,2025-09-25 16:09:54
1,[8],max,2,128,True,18,340.8994,338.4088,2025-09-25 16:10:21
1,[8],max,2,256,False,23,514.0355,509.7550,2025-09-25 16:10:25
1,[8],max,2,256,True,18,338.2152,347.7227,2025-09-25 16:10:52
1,[8],max,3,64,False,22,514.3815,504.9735,2025-09-25 16:10:56
1,[8],max,3,64,True,25,336.0494,342.5974,2025-09-25 16:11:35
1,[8],max,3,128,False,24,513.7775,505.3669,2025-09-25 16:11:39
1,[8],max,3,128,True,37,338.4285,344.4689,2025-09-25 16:12:38
1,[8],max,3,256,False,17,516.6023,505.5969,2025-09-25 16:12:41
1,[8],max,3,256,True,21,338.7195,344.9599,2025-09-25 16:13:13
2,[1, 1],none,1,64,False,87,61.8126,48.2085,2025-09-25 16:13:28
2,[1, 1],none,1,64,True,116,46.2936,36.9008,2025-09-25 16:17:09
2,[1, 1],none,1,128,False,119,39.2616,41.9670,2025-09-25 16:17:30
2,[1, 1],none,1,128,True,106,33.0435,40.2793,2025-09-25 16:20:26
2,[1, 1],none,1,256,False,None,36.8349,34.6932,2025-09-25 16:20:51
2,[1, 1],none,1,256,True,103,34.0603,33.4605,2025-09-25 16:23:38
2,[1, 1],none,2,64,False,31,512.7469,509.3341,2025-09-25 16:23:43
2,[1, 1],none,2,64,True,None,82.4352,66.4828,2025-09-25 16:26:58
2,[1, 1],none,2,128,False,101,67.8101,60.0517,2025-09-25 16:27:17
2,[1, 1],none,2,128,True,None,56.4600,47.9683,2025-09-25 16:30:38
2,[1, 1],none,2,256,False,23,513.7376,507.4033,2025-09-25 16:30:43
2,[1, 1],none,2,256,True,16,338.1485,345.7185,2025-09-25 16:31:11
2,[1, 1],none,3,64,False,21,513.6651,506.7558,2025-09-25 16:31:15
2,[1, 1],none,3,64,True,25,340.8533,336.7279,2025-09-25 16:31:57
2,[1, 1],none,3,128,False,36,512.8623,510.5833,2025-09-25 16:32:04
2,[1, 1],none,3,128,True,30,336.1855,341.0140,2025-09-25 16:32:57
2,[1, 1],none,3,256,False,30,512.8231,511.5614,2025-09-25 16:33:06
2,[1, 1],none,3,256,True,26,337.7815,340.8015,2025-09-25 16:33:55
2,[1, 1],average,1,64,False,86,73.0882,98.5430,2025-09-25 16:34:12
2,[1, 1],average,1,64,True,61,143.9208,150.6188,2025-09-25 16:35:57
2,[1, 1],average,1,128,False,96,49.8582,45.1810,2025-09-25 16:36:14
2,[1, 1],average,1,128,True,53,141.7506,143.1215,2025-09-25 16:37:41
2,[1, 1],average,1,256,False,79,86.1378,71.2006,2025-09-25 16:37:57
2,[1, 1],average,1,256,True,53,141.2263,141.2324,2025-09-25 16:39:26
2,[1, 1],average,2,64,False,20,513.0450,508.1608,2025-09-25 16:39:30
2,[1, 1],average,2,64,True,20,338.3117,339.9863,2025-09-25 16:40:04
2,[1, 1],average,2,128,False,18,514.2264,509.2440,2025-09-25 16:40:08
2,[1, 1],average,2,128,True,21,338.8038,341.1770,2025-09-25 16:40:44
2,[1, 1],average,2,256,False,20,511.7221,507.0880,2025-09-25 16:40:48
2,[1, 1],average,2,256,True,26,337.2874,352.9168,2025-09-25 16:41:31
2,[1, 1],average,3,64,False,22,515.5045,507.3842,2025-09-25 16:41:35
2,[1, 1],average,3,64,True,26,333.2785,345.7952,2025-09-25 16:42:20
2,[1, 1],average,3,128,False,40,512.0548,509.2687,2025-09-25 16:42:28
2,[1, 1],average,3,128,True,19,340.6593,337.7685,2025-09-25 16:42:59
2,[1, 1],average,3,256,False,24,512.2639,508.3746,2025-09-25 16:43:05
2,[1, 1],average,3,256,True,22,334.5238,344.6006,2025-09-25 16:43:42
2,[1, 1],max,1,64,False,113,61.3903,61.7227,2025-09-25 16:44:03
2,[1, 1],max,1,64,True,45,155.5715,155.1376,2025-09-25 16:45:23
2,[1, 1],max,1,128,False,22,514.3751,506.2383,2025-09-25 16:45:27
2,[1, 1],max,1,128,True,None,51.5448,44.9217,2025-09-25 16:48:44
2,[1, 1],max,1,256,False,None,44.1371,38.0137,2025-09-25 16:49:07
2,[1, 1],max,1,256,True,96,45.4864,42.5669,2025-09-25 16:51:37
2,[1, 1],max,2,64,False,22,511.6504,509.0052,2025-09-25 16:51:41
2,[1, 1],max,2,64,True,27,336.2771,337.9320,2025-09-25 16:52:23
2,[1, 1],max,2,128,False,None,64.9120,84.9891,2025-09-25 16:52:45
2,[1, 1],max,2,128,True,71,146.2306,146.8059,2025-09-25 16:54:47
2,[1, 1],max,2,256,False,29,512.9212,506.4800,2025-09-25 16:54:54
2,[1, 1],max,2,256,True,19,335.1967,345.2763,2025-09-25 16:55:26
2,[1, 1],max,3,64,False,23,514.8961,508.3349,2025-09-25 16:55:31
2,[1, 1],max,3,64,True,25,334.0552,347.8031,2025-09-25 16:56:15
2,[1, 1],max,3,128,False,18,511.9526,506.6418,2025-09-25 16:56:19
2,[1, 1],max,3,128,True,28,337.6604,340.2169,2025-09-25 16:57:08
2,[1, 1],max,3,256,False,23,512.4091,508.2395,2025-09-25 16:57:13
2,[1, 1],max,3,256,True,28,331.2025,334.7016,2025-09-25 16:58:02
2,[2, 2],none,1,64,False,None,45.7041,37.4221,2025-09-25 16:58:25
2,[2, 2],none,1,64,True,115,43.9521,34.2300,2025-09-25 17:01:53
2,[2, 2],none,1,128,False,89,41.5102,43.5361,2025-09-25 17:02:11
2,[2, 2],none,1,128,True,None,38.3568,40.9643,2025-09-25 17:05:39
2,[2, 2],none,1,256,False,120,37.9179,33.1767,2025-09-25 17:06:07
2,[2, 2],none,1,256,True,118,33.1847,36.1672,2025-09-25 17:09:36
